Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,timestamp,class_id
-65.71177,-73.67103,-70.964264,-72.89239,-76.43268,-79.72547,-78.778885,-78.27157,-79.2314,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-603.651,9.86398,9.426342,8.742367,7.871908,6.88475,5.851497,4.836694,3.8949947,3.0699234,2.393999,1.8887358,1.5639586,0.27,1
-62.77822,-61.19632,-62.70687,-64.70195,-64.31582,-66.097015,-63.053688,-64.945816,-69.2269,-79.41929,-71.54469,-71.56605,-72.42249,-72.77514,-72.64884,-74.50466,-72.495735,-74.99854,-74.66053,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-572.228,44.884262,24.9239,10.089849,5.310378,3.611528,-0.66159934,-4.618201,-3.6791282,0.73744214,3.9868631,4.7750015,4.8488307,0.297,1
-55.482056,-56.793083,-58.146072,-61.20598,-64.55017,-59.669052,-61.823456,-63.326347,-68.02947,-68.95121,-70.34295,-67.22821,-71.398674,-74.60857,-73.10988,-76.79263,-76.71278,-77.71666,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-561.71356,60.182335,38.45095,16.424349,3.3828297,0.11195627,1.4216809,2.4198143,2.007153,1.6438847,2.4610915,4.063425,5.2885437,0.324,1
-58.31919,-54.624794,-56.553955,-60.361053,-60.64714,-53.262165,-55.070732,-57.919083,-64.57968,-65.454216,-66.38392,-68.65418,-71.480835,-69.24773,-74.2331,-76.79114,-76.00753,-77.6266,-80.0,-79.661385,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-551.7581,71.52156,43.030663,13.596245,-4.4058847,-9.022271,-6.2792473,-2.7528493,-0.8143841,0.611826,2.7601957,5.1576233,6.2340517,0.351,1
-56.83364,-53.106552,-51.865105,-51.3537,-49.745777,-52.711018,-49.51159,-54.829872,-63.34352,-62.41793,-63.20784,-61.98089,-69.38439,-72.7288,-68.10922,-66.81475,-64.69623,-64.81908,-74.02792,-78.97386,-80.0,-79.96908,-78.36959,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-528.1981,92.15353,41.982418,7.55252,0.6277795,0.36221737,-8.9331455,-17.471176,-11.8372135,0.6713872,3.0852108,-5.0070724,-7.883072,0.378,1
-55.395958,-60.12944,-59.55108,-58.687714,-60.93383,-62.079475,-61.922028,-64.20336,-65.90911,-72.47008,-72.333405,-70.75072,-72.41084,-72.3934,-72.81564,-74.059555,-77.91449,-79.29545,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-564.79504,56.49874,36.607597,16.92734,5.533268,1.9456284,0.70705336,-1.6243902,-3.7322247,-2.8254342,1.0371307,4.7209196,5.485818,0.405,1
-52.56784,-57.355797,-62.843925,-61.52913,-59.2035,-57.826447,-55.380836,-60.579285,-61.095863,-56.21662,-52.812515,-50.930706,-52.95684,-53.500603,-53.894936,-56.011948,-58.60842,-57.987373,-63.651123,-71.019875,-70.3196,-66.12276,-65.37413,-67.37516,-64.91128,-68.47296,-72.159904,-70.75725,-75.68949,-80.0,-73.54566,-79.07641,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-488.0032,88.29615,-17.392078,-21.721779,-6.774049,4.2393274,21.175808,11.273064,-7.6989527,-2.7828674,8.458254,3.8562424,0.10088155,0.432,1
-52.76512,-54.949295,-51.767105,-46.85504,-47.487743,-51.455505,-52.987854,-50.252792,-51.893402,-55.840553,-59.123894,-58.900063,-60.727753,-57.322563,-58.423737,-57.547806,-58.327263,-63.175858,-67.19878,-68.74154,-67.9761,-69.302795,-70.62761,-72.55504,-69.5465,-65.131676,-61.21556,-57.87361,-62.62594,-62.272507,-62.89347,-69.638565,-73.47437,-79.89385,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-461.7202,90.15216,5.8983526,19.616636,-25.382889,2.1528132,11.917674,-28.6231,-3.4553037,4.1978045,-3.268992,5.5522757,-3.0380373,0.459,1
-51.362175,-45.384193,-39.956566,-42.973343,-54.476227,-52.491806,-54.50293,-59.264404,-62.79425,-63.47381,-64.06283,-64.29955,-62.217964,-58.994186,-59.94719,-60.542114,-61.721214,-67.113754,-67.41188,-68.49361,-72.4637,-75.53866,-76.38055,-77.90467,-79.65354,-79.763756,-78.93366,-77.0403,-80.0,-79.72187,-79.339935,-77.0332,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-506.8279,105.68192,34.099457,4.3482294,15.847978,22.793976,4.9267387,-12.578251,-12.670437,-6.3761215,-3.0979276,-2.5760334,-2.4877677,0.486,1
-53.514946,-51.86631,-49.121788,-52.68821,-62.92852,-63.05609,-68.58185,-68.27444,-64.87408,-64.377846,-65.88755,-64.68295,-69.11555,-69.96423,-71.67298,-73.3362,-74.65904,-73.68491,-75.47566,-75.85599,-74.26383,-78.16354,-80.0,-80.0,-80.0,-79.09838,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-549.7264,70.28104,38.20794,14.922674,9.042131,10.880067,12.230305,11.438882,6.8054276,-0.6350591,-7.200322,-8.341779,-7.13449,0.513,1
