Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,timestamp,class_id
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-764.78577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-764.78577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,2
-80.0,-80.0,-80.0,-77.004005,-80.0,-79.34178,-77.78552,-78.98645,-80.0,-76.87791,-77.706154,-78.06256,-77.565285,-80.0,-76.41959,-75.98333,-75.719124,-78.54157,-77.54471,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-761.09125,2.781976,-1.493998,-2.6610808,-0.44228733,1.1186264,-0.18336599,-1.9519482,-1.3074744,0.8166768,1.386701,-0.18640718,-1.5052078,0.054,2
-80.0,-78.71728,-71.614456,-71.49475,-72.81891,-72.24201,-72.439896,-69.69343,-72.20837,-70.03281,-67.87915,-67.6481,-65.72451,-68.26159,-70.741234,-70.701805,-70.3278,-71.18134,-69.2699,-75.403625,-73.98218,-78.29593,-77.28335,-77.310135,-78.1385,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-730.35046,27.186634,-9.528584,-20.718395,-7.8444476,2.1804423,0.59955364,-2.7431438,-2.7823215,-3.0231762,-4.9964337,-5.2688093,-1.9049358,0.081,2
-74.63326,-64.46666,-62.254673,-62.452297,-60.525375,-63.521145,-61.991253,-65.95435,-68.00613,-68.61133,-66.80098,-65.85969,-65.87969,-67.16501,-69.11767,-68.96541,-65.41395,-66.219574,-69.81798,-69.185265,-67.327286,-66.545525,-67.15373,-67.657196,-70.31455,-71.82222,-73.525406,-76.74352,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-689.7287,49.22665,-15.334963,-1.1510595,8.725997,-12.317211,-11.023225,-4.08755,-13.648254,-13.968307,-6.915017,-7.3598757,-6.190997,0.108,2
-69.179985,-59.795765,-60.48729,-58.291286,-58.233173,-62.572853,-65.09105,-64.10599,-58.915703,-56.60911,-55.837433,-47.53554,-49.262417,-50.419415,-59.070972,-63.539227,-62.80242,-62.40776,-63.225117,-69.396774,-68.952194,-67.73167,-68.87342,-68.08521,-71.65994,-74.41663,-76.99601,-77.43011,-77.57064,-77.67909,-79.72621,-80.0,-75.32882,-73.4109,-77.712746,-80.0,-80.0,-80.0,-80.0,-80.0,-656.572,76.95327,-20.861542,-35.980858,-13.257693,0.8534245,5.271511,12.575586,-6.8930864,-18.131935,-12.850832,-13.999909,-5.9282713,0.135,2
-72.98853,-64.146996,-62.65291,-63.588387,-62.85331,-60.527294,-58.655704,-55.46857,-52.92379,-52.886944,-54.796974,-57.431355,-58.183125,-61.56006,-62.565575,-64.30925,-63.210957,-59.878036,-57.76268,-62.653698,-63.686283,-69.0215,-67.46708,-68.33013,-70.92985,-72.05375,-70.893036,-71.55479,-70.2839,-70.32339,-73.81045,-74.146385,-74.53454,-76.76316,-78.39424,-79.43409,-80.0,-80.0,-80.0,-80.0,-647.2417,67.71587,-29.097122,-21.879723,-19.850815,-12.744642,-11.447649,-6.8822465,10.873598,5.175563,-4.3753386,-6.542628,-5.6909504,0.162,2
-64.21667,-54.084778,-57.03082,-52.033573,-49.78773,-55.241432,-54.46147,-53.023712,-50.00542,-49.815434,-54.559376,-52.323193,-52.420235,-53.60513,-53.910725,-57.563343,-57.00038,-59.936886,-59.34242,-58.937344,-66.626205,-68.231544,-65.575806,-66.64234,-65.98503,-66.85961,-69.97436,-69.42053,-67.52139,-69.88578,-72.84665,-73.907585,-72.436714,-74.173744,-75.60607,-76.594536,-80.0,-80.0,-80.0,-80.0,-609.9363,91.632935,-23.543116,-17.706766,-22.065525,-6.9039574,-4.1415997,-10.988411,-8.944837,-5.3919907,-6.7870355,-10.6968565,-7.665941,0.189,2
-68.53259,-58.48493,-57.368767,-54.217747,-56.551754,-53.968845,-49.715786,-50.982693,-53.816025,-54.482433,-55.612347,-50.208645,-46.681057,-49.89324,-47.93703,-51.582523,-52.65674,-57.533035,-56.36337,-55.415413,-60.273304,-66.27912,-64.897644,-64.15356,-64.467255,-66.2493,-67.39784,-67.35706,-69.401245,-69.03625,-70.55883,-70.49804,-71.83832,-72.6791,-73.67714,-74.47048,-77.46624,-80.0,-80.0,-80.0,-595.77356,85.15232,-39.98022,-25.027521,-19.75692,2.4997587,-4.5447254,-10.722309,-13.498151,-8.408334,-3.979312,-2.1120422,4.531233,0.216,2
-65.37273,-49.222126,-50.748745,-45.663715,-41.097828,-47.392475,-51.236526,-45.435,-48.674137,-47.097137,-49.251408,-45.21214,-50.241657,-50.92172,-53.7759,-49.611397,-48.414783,-50.949657,-55.391304,-53.61137,-58.330193,-60.746986,-56.359562,-53.14909,-56.96403,-60.0853,-63.194977,-61.461956,-62.789,-62.563038,-63.35751,-63.27611,-63.018955,-65.406715,-66.136375,-69.29822,-73.348076,-80.0,-80.0,-80.0,-546.8575,81.293816,-38.945107,-2.0626192,-29.09805,0.020059034,-18.465168,-6.9770555,-17.405323,-10.045233,-2.8590677,-17.246214,-14.937274,0.243,2
