Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,timestamp,class_id
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-628.81616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-628.81616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0
-80.0,-80.0,-80.0,-79.07529,-76.84148,-78.40631,-79.43426,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-628.63776,0.2344502,0.18350026,0.107698366,0.018986702,-0.0690297,-0.14343905,-0.19417837,-0.21555722,-0.20691893,-0.17232856,-0.1194297,-0.05775224,0.0031834394,0.05550957,0.09415548,0.117243595,0.12576208,0.12268978,0.111764476,0.09634233,0.078524925,0.058864083,0.036601506,0.01041463,-0.020573601,-0.055907354,-0.0931356,-0.1278091,-0.15403187,0.06,0
-80.0,-73.23276,-76.33161,-72.95228,-71.034065,-69.56438,-71.42436,-79.55867,-76.23626,-74.2035,-77.67229,-79.28136,-80.0,-80.0,-79.39894,-79.785,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-622.33905,8.188204,5.629547,2.3498244,-0.7248612,-2.9709935,-4.159894,-4.3573127,-3.8039207,-2.834118,-1.7725389,-0.7971331,0.1152502,1.0589073,1.9724439,2.5494165,2.4178078,1.4489105,-0.08721489,-1.6556407,-2.7430353,-3.0595152,-2.568919,-1.4474527,-0.06802869,1.0426334,1.3841487,0.7628563,-0.5445752,-1.9241254,0.09,0
-77.102234,-69.43785,-69.11819,-66.65415,-63.990524,-63.17076,-64.67426,-69.05036,-70.65578,-67.85274,-75.07845,-75.91594,-74.516495,-76.51594,-77.853195,-78.38079,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-607.753,26.228462,17.031553,5.7736845,-3.8384342,-9.665524,-11.590473,-10.804957,-8.749875,-6.453286,-4.418123,-2.7747679,-1.435653,-0.22808853,0.93108875,1.8768718,2.2074134,1.5240184,-0.23450854,-2.591639,-4.6219673,-5.334489,-4.2072315,-1.6050179,1.2330527,2.783267,2.1545358,-0.27484375,-3.0354524,-4.513046,0.12,0
-74.88686,-65.274284,-64.85278,-60.802338,-58.353096,-64.60494,-65.78404,-68.73785,-67.35473,-67.44528,-71.84912,-71.70678,-72.590996,-70.66205,-70.756645,-73.39773,-77.20758,-77.82055,-78.85637,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-595.6884,38.52642,19.582064,2.3352814,-5.6752796,-6.581871,-6.962427,-9.708424,-12.132418,-11.020398,-7.3619328,-5.065136,-5.9726663,-7.689441,-6.652549,-2.3859172,2.0725584,3.6156285,2.0939636,-0.21810251,-1.4352546,-1.6891694,-2.1519036,-3.1836247,-3.899892,-3.3863668,-1.907742,-0.7327205,-0.8691203,-2.0714538,0.15,0
-66.60096,-58.18599,-61.776817,-60.18416,-58.04512,-55.641518,-59.230263,-62.95574,-66.005165,-63.363083,-63.22587,-70.584885,-70.33801,-67.298805,-66.92682,-69.43088,-74.66456,-74.85077,-77.96688,-79.82184,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-578.1991,56.879997,24.68869,-1.694829,-10.292981,-7.8979254,-7.029775,-10.9214115,-13.410004,-9.821909,-3.304765,-0.17093854,-2.1033082,-4.8898396,-3.9903283,0.18409006,2.836236,0.068946555,-6.8084593,-12.385,-12.485712,-8.087106,-3.7267823,-2.5263608,-3.5912383,-4.240713,-3.591305,-2.9748044,-3.3364162,-3.6162493,0.18,0
-65.63142,-57.888573,-59.870964,-52.40882,-52.858246,-51.709347,-52.83206,-58.968163,-61.42112,-59.406876,-57.63138,-63.98491,-66.39419,-63.372826,-63.166084,-65.25329,-69.87756,-68.705025,-73.70781,-75.493614,-77.081856,-79.063896,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-557.6025,75.441345,23.013027,-13.907078,-19.430462,-11.754618,-11.182354,-16.992966,-18.008995,-12.159067,-6.726406,-5.7181444,-5.858181,-3.6610289,-0.10355443,2.27045,2.5198898,0.41222176,-4.220352,-9.248478,-9.987671,-4.354358,2.7261584,3.6823182,-2.3351698,-7.915251,-7.023859,-2.7411897,-1.94124,-5.053375,0.21,0
-62.308487,-56.722527,-56.603104,-49.322945,-49.77254,-48.25815,-54.341827,-55.926643,-58.550896,-58.982094,-59.4617,-60.71753,-63.50885,-62.42553,-64.21675,-65.91306,-68.67193,-66.72955,-70.67915,-75.04568,-75.30263,-76.581924,-76.60393,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-547.581,85.53566,26.715359,-11.793634,-16.935034,-11.606501,-13.209661,-17.369873,-16.226448,-12.048988,-10.209149,-9.919407,-7.0412498,-2.150935,-0.32424265,-2.4845693,-3.1713467,-0.20623755,0.613008,-4.092224,-7.9553275,-4.972677,0.19921993,-0.40877432,-5.9216337,-8.636614,-5.0814133,-0.01500988,0.22148931,-4.1092496,0.24,0
-61.846725,-53.674484,-60.08641,-52.144867,-48.760452,-47.81707,-55.024956,-54.36,-57.04949,-56.54724,-57.12188,-59.229973,-62.90925,-62.706146,-61.26168,-63.68579,-66.57567,-65.44381,-67.79629,-69.22456,-70.259926,-72.189835,-74.43685,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-538.3135,88.13895,15.733629,-18.608335,-13.621805,-9.984683,-16.841965,-17.033817,-10.532876,-9.024981,-10.706393,-8.683106,-5.370696,-3.5823689,-0.6339474,2.7820344,2.5445356,-0.6048721,-3.5171015,-6.0523653,-7.4127665,-5.609995,-3.5925274,-6.14359,-10.797701,-11.1462755,-6.760502,-2.4555025,-1.4301562,-3.3631952,0.27,0
