Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,timestamp,class_id
-63.06218,-54.42385,-49.415176,-48.561874,-42.055904,-38.132942,-39.12417,-44.364464,-43.350304,-40.8592,-43.419746,-45.396675,-43.862915,-45.82023,-49.51265,-48.946056,-50.9571,-52.44371,-52.665325,-54.559486,-58.391968,-57.70549,-56.152916,-57.432945,-61.29658,-61.064087,-59.615673,-61.609974,-64.23536,-65.818886,-63.40392,-62.638416,-64.757996,-65.33374,-66.7952,-66.59154,-67.61134,-80.0,-80.0,-80.0,-491.1251,96.81669,-32.149612,-15.975621,-36.15802,-7.3097544,-22.601963,-6.2837105,-18.933296,-8.569716,-8.505819,-7.274242,-2.4237032,-0.050367028,3.16578,1.3873968,0.4151282,-3.2082434,4.946403,-13.469034,-8.489763,-6.571227,-7.057188,-5.01943,3.7568777,9.34943,3.985009,-0.6245891,-5.303413,-0.50939393,0.3,2
-57.275356,-52.48826,-48.533405,-42.39585,-45.046143,-43.396305,-41.506485,-43.756775,-42.238106,-43.441406,-40.1292,-39.130768,-41.01266,-42.230247,-42.37591,-42.39031,-40.93369,-44.38752,-47.27647,-50.801666,-49.39829,-49.94665,-50.191864,-53.069016,-57.141006,-58.499966,-57.257042,-56.351288,-55.084053,-56.789265,-58.941883,-60.158073,-61.200848,-64.06442,-64.92175,-66.799,-70.52727,-80.0,-80.0,-80.0,-453.4663,96.64847,-57.51546,-8.014092,-31.87219,7.6249437,-14.98618,-7.1502867,-8.826063,-10.516312,-9.687421,-3.5838304,-7.4708405,-8.722209,8.858695,-1.57159,-5.19126,-6.8951645,0.2351254,-3.1888018,0.5180967,-0.16224882,0.74476796,1.5510285,-1.5843519,0.9423803,-4.2905083,0.662111,-1.0685823,-1.9636678,0.33,2
-59.95204,-55.386265,-46.660248,-40.56305,-37.120365,-43.46999,-45.98632,-48.748844,-46.039,-43.05615,-41.985302,-39.36782,-39.841003,-38.038692,-42.043457,-45.10357,-47.69987,-48.06658,-49.62111,-50.79694,-51.018402,-54.29431,-54.607983,-55.077927,-56.551025,-59.05795,-59.642242,-58.814053,-57.622555,-59.787296,-59.932922,-61.49529,-63.394077,-63.08039,-64.71576,-67.282135,-71.014946,-80.0,-80.0,-80.0,-465.73666,98.70826,-49.21644,-11.321625,-32.2929,8.149761,-10.838022,-3.335752,-15.038156,-19.09293,-17.692978,-10.378192,-3.5103402,-4.1628094,4.70926,-3.0802026,6.855585,5.7139325,5.58737,2.1726415,3.415821,0.825401,-1.1597826,3.0281832,-0.02926572,-0.37530088,-0.8004848,0.97251666,0.5932919,1.1941173,0.36,2
-62.446014,-49.74653,-45.43257,-42.24788,-37.213375,-36.594936,-35.62271,-38.74131,-44.35605,-39.481102,-41.844124,-35.961407,-33.286655,-39.01773,-39.710983,-44.18972,-43.839108,-43.919106,-45.39351,-46.69515,-44.588535,-48.271286,-48.302288,-54.02728,-51.786385,-51.43616,-56.123165,-57.65159,-56.89418,-57.775196,-59.306095,-60.11457,-58.971718,-59.48488,-60.037857,-63.310875,-67.66011,-80.0,-80.0,-80.0,-432.05258,100.69947,-58.06077,-9.973421,-35.090317,0.4866309,-26.252337,-1.8736578,-21.451157,-16.229458,-16.222214,-9.522766,5.2249537,-1.7908977,3.574144,-7.443657,-0.25840408,-9.053984,-1.1707076,3.0114293,-2.6070125,-7.188424,0.99459183,1.142663,-3.212858,4.427537,0.4424287,0.9398205,-1.1214857,-1.5134614,0.39,2
-56.619576,-48.047134,-44.673443,-43.322906,-42.153362,-40.988388,-42.78879,-43.96528,-44.021748,-40.84565,-40.815796,-40.574,-39.76158,-43.460472,-44.96188,-37.740993,-37.76313,-41.586155,-43.82624,-44.2685,-45.2998,-49.423363,-48.536163,-48.390976,-52.93434,-54.10548,-53.757576,-54.351135,-56.002583,-56.69703,-56.86197,-56.509773,-56.061176,-58.507328,-60.157593,-61.242947,-65.988884,-80.0,-80.0,-80.0,-429.02304,90.86424,-60.142483,0.9739809,-25.101604,14.847755,-24.374554,-2.0001347,-13.399832,-3.8732834,-5.8500605,-11.735253,-6.06134,-8.123883,5.102828,-2.7183394,-1.092164,-8.662542,-0.23351365,-4.7003975,5.085128,-2.2247758,-9.298536,-2.645453,3.0007968,8.595314,-3.6010756,1.7473367,-4.1316333,0.2390647,0.42,2
-55.29087,-52.12773,-42.76279,-37.897476,-37.27025,-36.725777,-36.879047,-38.640232,-38.73356,-39.065037,-41.43448,-40.070923,-39.04962,-38.24782,-42.380802,-41.49705,-38.3325,-40.007126,-39.858574,-43.362442,-47.141617,-49.07988,-48.58424,-47.24942,-48.274292,-52.248993,-54.856636,-53.394646,-54.5941,-57.017395,-55.666092,-56.05892,-56.22414,-58.253353,-57.672165,-55.813656,-59.997665,-80.0,-80.0,-80.0,-411.79535,95.294304,-55.877464,-2.5263734,-30.165798,7.9324503,-31.468122,-1.2482061,-21.615673,0.8034694,-6.51686,-7.144516,-4.7191358,0.30306208,5.0540767,-13.182646,1.2535021,-3.754407,9.387163,-4.313545,8.829261,-1.0996764,0.34054828,8.110008,2.9061887,8.483395,-0.44758815,2.811932,-6.1743803,3.7933588,0.45,2
-53.78693,-44.743572,-37.84055,-34.530304,-35.690006,-39.811024,-37.627754,-40.52856,-39.716866,-39.870483,-41.505245,-37.48756,-37.527454,-41.84968,-41.83143,-39.96071,-39.30667,-41.293034,-44.41936,-40.653244,-42.76647,-45.84938,-49.3659,-47.767166,-49.46897,-50.694153,-53.305862,-55.69224,-56.302593,-59.41723,-58.855404,-59.494274,-60.136723,-60.301025,-61.41337,-63.20939,-67.29663,-80.0,-80.0,-80.0,-416.73965,111.44692,-56.989906,3.68562,-17.817219,5.1746693,-22.9438,-0.25205073,-17.327866,-6.514288,-10.947081,-12.678362,-3.427826,-8.204659,-2.3992922,-7.381166,0.5561476,-9.461636,-1.4893993,2.541203,10.0300255,0.7567775,-5.5555205,0.56943786,3.0103967,3.5281796,-0.33658376,3.3731058,-1.4151922,-1.9385353,0.48,2
-54.054596,-46.40637,-39.70595,-37.78901,-40.20781,-40.09683,-36.683067,-34.926044,-37.27437,-36.80694,-40.176952,-38.11388,-36.926777,-37.449215,-39.47455,-41.398857,-38.109028,-42.961563,-45.168457,-45.073864,-45.664993,-47.70645,-45.76391,-48.30546,-53.155968,-54.118546,-53.312225,-55.215073,-56.079636,-55.77006,-55.45015,-55.91442,-55.259476,-56.466045,-57.623768,-58.809097,-62.219284,-80.0,-80.0,-80.0,-408.7329,103.4041,-50.764545,-3.4977946,-34.481705,10.031334,-28.694359,4.393139,-17.048206,-6.2318277,-4.92045,-3.5847766,-4.214212,-11.558542,-1.6946266,-12.097895,-4.4360533,-8.76178,6.07762,-3.2689512,2.0864048,-0.29373243,-2.229671,-1.0512125,4.6894503,6.7298765,-6.6336308,1.0010083,-1.2169179,3.18644,0.51,2
-49.922997,-41.030975,-38.396107,-42.482346,-36.011765,-40.051712,-37.659313,-36.60317,-39.105267,-42.998337,-37.313396,-37.57914,-37.453835,-32.293488,-31.88381,-37.857464,-39.884483,-42.69034,-43.458366,-43.035213,-43.17311,-45.572037,-43.959488,-42.70374,-42.16903,-45.840477,-47.932556,-50.16014,-51.834618,-53.220497,-53.856842,-51.578655,-54.356236,-52.99159,-56.04357,-57.267982,-63.25259,-80.0,-80.0,-80.0,-388.01837,94.8293,-63.715923,14.396982,-29.939219,15.220961,-14.548717,9.383442,-26.918,-9.208763,-0.2839574,-2.5709553,3.570295,-7.1607413,-3.8471656,-14.677478,1.7966397,-6.269885,-2.4734442,-8.430788,1.678488,-0.22993001,-1.6299775,1.4642957,-7.27468,-8.490738,-11.364298,-1.4886298,0.46868175,8.586021,0.54,2
-46.07548,-38.512596,-33.17906,-31.990892,-31.492422,-34.3961,-34.50284,-34.52076,-37.661377,-33.785973,-34.34551,-28.891445,-27.969067,-26.959845,-28.116373,-34.516037,-33.3235,-34.10902,-41.176163,-42.402264,-41.42498,-45.2923,-43.352398,-44.366108,-45.897243,-47.942116,-46.75213,-45.187798,-48.021805,-48.551445,-50.97103,-52.333843,-53.6825,-53.822433,-53.289917,-53.95983,-56.849117,-68.18265,-80.0,-80.0,-352.17,110.53721,-59.58397,0.80811536,-40.462822,21.743416,-13.026547,3.136131,-30.88661,-7.995187,-19.91239,-2.1966286,-5.4856205,-7.6131496,2.610402,-13.496914,-4.445849,-10.52766,5.3202667,-6.14071,3.5223355,-6.8827353,-2.3843398,1.9209179,2.5448422,-5.3794374,-8.339884,1.1133018,-2.2439728,0.23794031,0.57,2
-53.29051,-43.11717,-40.62687,-33.914806,-32.868153,-40.46227,-35.782417,-35.7003,-39.202698,-37.795166,-35.44674,-35.635765,-34.34909,-30.496046,-32.26331,-35.713715,-36.304024,-33.121353,-34.346207,-42.06671,-41.891365,-43.78169,-40.517845,-44.038513,-48.945686,-50.0484,-47.606537,-49.81791,-49.180035,-52.640007,-54.30657,-55.135807,-55.268177,-55.014668,-55.674316,-56.602116,-62.98291,-80.0,-80.0,-80.0,-378.28424,103.63482,-72.642456,-1.7780001,-29.699635,18.248234,-21.154419,1.0098345,-21.151432,-3.8858619,-11.347805,-5.365196,-2.0885525,-12.264187,4.8561044,-14.026284,-5.6977654,-2.3839505,9.8953905,-6.497692,-1.6912793,4.6664214,9.563151,8.131401,-0.68429047,0.58819973,-9.328159,-1.3763894,-4.637407,-4.2847896,0.6,2
-44.606945,-35.71894,-35.35563,-27.728085,-29.427412,-33.50332,-31.027016,-34.239933,-39.778,-35.08259,-37.070606,-37.19156,-34.856773,-35.48208,-38.44788,-34.89006,-33.55095,-36.238426,-35.467323,-38.36474,-34.616783,-35.209106,-38.948948,-44.703495,-48.64195,-49.41701,-49.582405,-48.665657,-46.213406,-49.535786,-51.82966,-52.978916,-54.06994,-53.474415,-54.09232,-54.700348,-58.56676,-80.0,-80.0,-80.0,-358.80026,109.824585,-61.576756,17.112375,-20.655872,16.423758,-36.16525,-0.560586,-15.842348,-7.782851,-19.30021,-0.9894986,-4.407324,-16.858076,5.989234,-8.510849,-3.8238475,-15.698842,1.4704704,-3.8030179,-0.34673312,-6.9851274,1.0034894,4.402458,-0.8898703,3.8562133,-6.662042,-7.527565,-15.543114,-7.3133063,0.63,2
-47.646164,-40.474575,-35.38289,-30.214176,-27.53814,-30.449474,-27.948296,-30.348894,-31.249231,-31.615263,-34.65249,-31.88106,-30.576574,-29.200024,-28.244215,-34.18634,-38.560875,-38.517178,-40.202545,-41.902546,-42.57426,-42.90243,-41.050266,-42.179253,-44.590218,-47.493847,-49.843094,-48.40609,-49.218052,-50.354404,-52.0618,-53.749733,-50.894516,-51.454865,-52.303,-54.92888,-59.385406,-80.0,-80.0,-80.0,-351.52075,119.11981,-56.28144,3.6762729,-43.528915,9.261925,-28.2688,4.8797097,-30.923288,-12.334475,-9.171133,-0.6921618,1.2239857,-12.936867,2.6649256,-15.739001,0.21879086,-1.207792,1.9383929,-7.1438994,0.2530536,-3.231428,0.7443414,-0.4907285,-3.2526548,1.4711972,-3.3270159,4.133894,-7.4718122,-3.9417384,0.66,2
